,source_id,target_id,distancia_hidraulica,distancia_euclidea,tipo_relacion,detalle_rio
69,AV-0131/2022,C328,29121.95,20119.57,AGUAS_ABAJO,RÍO JARAMA
70,AV-0020/1987,C330,21375.34,16883.18,AGUAS_ABAJO,RÍO JARAMA
71,AV-0043/2002,C304,11669.74,8156.09,AGUAS_ABAJO,RÍO JARAMA
72,AV-0063/2003,C330,39761.48,29580.88,AGUAS_ABAJO,RÍO JARAMA
73,AV-0063/2024,C330,13858.89,10291.95,AGUAS_ABAJO,RÍO JARAMA
74,AV-0024/1987,C306,9872.89,5515.87,AGUAS_ABAJO,RÍO JARAMA
75,AV-0067/2010,C304,5525.88,3708.71,AGUAS_ABAJO,RÍO JARAMA
76,AV-0084/2009,C342,20904.87,18197.11,AGUAS_ABAJO,RÍO ALBERCHE
77,AV-0193/2023,C326,24813.77,21152.01,AGUAS_ABAJO,RÍO ALBERCHE
78,AV-0068/2005,C326,32978.33,22636.41,AGUAS_ABAJO,RÍO ALBERCHE
79,AV-0010/1986,C342,6174.06,5605.08,AGUAS_ABAJO,RÍO ALBERCHE
80,AV-0018/2001,C342,7028.76,6472.26,AGUAS_ABAJO,RÍO ALBERCHE
81,AV-0007/1980,C342,7789.77,7302.38,AGUAS_ABAJO,RÍO ALBERCHE
82,AV-0078/2002,C342,13783.84,13296.89,AGUAS_ABAJO,RÍO ALBERCHE
83,AV-0077/2002,C342,11533.36,10774.07,AGUAS_ABAJO,RÍO ALBERCHE
84,AV-0016/1986,C326,15508.63,13681.54,AGUAS_ABAJO,RÍO ALBERCHE
85,AV-0038/2014,C326,5395.58,4909.96,AGUAS_ABAJO,RÍO ALBERCHE
86,AV-0093/2007,C313,7666.18,7375.57,AGUAS_ABAJO,RÍO ALBERCHE
87,AV-0060/2009,C326,2778.11,2512.95,AGUAS_ABAJO,RÍO ALBERCHE
88,AV-0056/1998,C313,29731.66,26130.84,AGUAS_ABAJO,RÍO ALBERCHE
89,AV-0628/1987,C313,32013.12,28067.86,AGUAS_ABAJO,RÍO ALBERCHE
90,AV-0061/1999,C313,22222.03,20032.58,AGUAS_ABAJO,RÍO ALBERCHE
91,AV-0007/2003,C307,10144.51,8534.97,AGUAS_ABAJO,RÍO HENARES
92,AV-0245/1990,C307,8597.37,7090.56,AGUAS_ABAJO,RÍO HENARES
93,AV-0104/2021,C307,6880.3,5821.11,AGUAS_ABAJO,RÍO HENARES
94,AV-0113/1987,C307,2956.95,2742.9,AGUAS_ABAJO,RÍO HENARES
95,AV-0022/1986,C307,105964.8,68901.62,AGUAS_ABAJO,RÍO HENARES
96,AV-0055/2010,C307,59096.2,45491.13,AGUAS_ABAJO,RÍO HENARES
97,AV-0214/1987,C307,15342.97,12618.2,AGUAS_ABAJO,RÍO HENARES
98,AV-0054/2010,C307,76091.54,52035.0,AGUAS_ABAJO,RÍO HENARES
99,AV-0011/1990,C309,4718.38,3386.81,AGUAS_ABAJO,RÍO HENARES
100,AV-0052/2007,C309,1955.19,1419.37,AGUAS_ABAJO,RÍO HENARES
101,AV-0012/1986,C309,807.01,800.39,AGUAS_ABAJO,RÍO HENARES
102,AV-0009/1992,C309,6690.96,4776.32,AGUAS_ABAJO,RÍO HENARES
103,AV-0002/1993,C309,17609.26,11084.96,AGUAS_ABAJO,RÍO HENARES
104,AV-0009/1994,C309,6940.0,4948.56,AGUAS_ABAJO,RÍO HENARES
105,AV-0041/2000,C309,19422.93,12548.45,AGUAS_ABAJO,RÍO HENARES
106,AV-0133/2023,C309,21079.03,13572.21,AGUAS_ABAJO,RÍO HENARES
107,AV-0033/1999,C309,18154.71,11362.78,AGUAS_ABAJO,RÍO HENARES
108,AV-0031/2007,C309,20884.96,13414.11,AGUAS_ABAJO,RÍO HENARES
109,AV-0025/2002,C309,21323.3,13790.58,AGUAS_ABAJO,RÍO HENARES
110,AV-0019/2005,C329,225229.25,143666.87,AGUAS_ABAJO,RÍO TAJUÑA
111,AV-0059/2010,C329,222792.9,141625.22,AGUAS_ABAJO,RÍO TAJUÑA
112,AV-0015/2024,C329,136770.1,88194.48,AGUAS_ABAJO,RÍO TAJUÑA
113,AV-0029/2008,C329,213001.82,133591.13,AGUAS_ABAJO,RÍO TAJUÑA
114,AV-0119/2021,C329,158815.43,103252.55,AGUAS_ABAJO,RÍO TAJUÑA
115,AV-0058/2002,C329,62759.5,38456.8,AGUAS_ABAJO,RÍO TAJUÑA
116,AV-0047/2002,C329,49375.93,30427.12,AGUAS_ABAJO,RÍO TAJUÑA
117,AV-0060/2022,C329,22765.1,13586.59,AGUAS_ABAJO,RÍO TAJUÑA
118,AV-0031/1996,C329,30334.92,18216.39,AGUAS_ABAJO,RÍO TAJUÑA
119,AV-0055/2002,C329,55924.09,34779.1,AGUAS_ABAJO,RÍO TAJUÑA
120,AV-0049/2002,C329,33106.35,20302.78,AGUAS_ABAJO,RÍO TAJUÑA
121,AV-0070/2004,C329,36165.39,21843.33,AGUAS_ABAJO,RÍO TAJUÑA
122,AV-0011/2020,C329,77190.51,47476.15,AGUAS_ABAJO,RÍO TAJUÑA
123,AV-0053/2006,C329,78254.2,47831.77,AGUAS_ABAJO,RÍO TAJUÑA
124,AV-0034/2010,C329,74477.52,46106.68,AGUAS_ABAJO,RÍO TAJUÑA
125,AV-0081/2021,C308,1261.42,1213.56,AGUAS_ABAJO,RÍO GUADARRAMA
126,AV-0013/1986,C303,10227.84,8054.2,AGUAS_ABAJO,RÍO GUADARRAMA
127,AV-0003/1994,C308,33939.34,29680.27,AGUAS_ABAJO,RÍO GUADARRAMA
128,AV-0006/1982,C308,24007.46,21152.5,AGUAS_ABAJO,RÍO GUADARRAMA
129,AV-0049/1997,C314,13104.52,9342.62,AGUAS_ABAJO,RÍO GUADARRAMA
130,AV-0527/1990,C314,20622.77,16162.11,AGUAS_ABAJO,RÍO GUADARRAMA
131,AV-0528/1990,C314,20906.42,16340.84,AGUAS_ABAJO,RÍO GUADARRAMA
132,AV-0065/1998,C314,23071.03,17985.25,AGUAS_ABAJO,RÍO GUADARRAMA
133,AV-0124/2005,C314,20613.31,16254.67,AGUAS_ABAJO,RÍO GUADARRAMA
134,AV-0081/2001,C314,23727.03,18560.02,AGUAS_ABAJO,RÍO GUADARRAMA
135,AV-0050/2009,C314,21348.87,16639.45,AGUAS_ABAJO,RÍO GUADARRAMA
136,AV-0605/1987,C314,22063.81,17164.07,AGUAS_ABAJO,RÍO GUADARRAMA
137,AV-0006/2020,C326,,26316.52,ASIGNADO_TEORICO,NO_MAPEAR
138,AV-0049/1999,C326,,25702.66,ASIGNADO_TEORICO,NO_MAPEAR
139,AV-0041/2015,C326,,25482.16,ASIGNADO_TEORICO,NO_MAPEAR
140,AV-0053/2014,C326,,25381.79,ASIGNADO_TEORICO,NO_MAPEAR
141,AV-0041/2017,C326,,27260.89,ASIGNADO_TEORICO,NO_MAPEAR
142,AV-0049/1996,C326,,25766.88,ASIGNADO_TEORICO,NO_MAPEAR
143,AV-0022/1995,C310,,40347.85,ASIGNADO_TEORICO,NO_MAPEAR
144,AV-0653/1987,C310,,41061.13,ASIGNADO_TEORICO,NO_MAPEAR
145,AV-0087/2003,C310,,32863.78,ASIGNADO_TEORICO,NO_MAPEAR
146,AV-0080/2004,C310,,31886.01,ASIGNADO_TEORICO,NO_MAPEAR
147,AV-0237/2023,C310,,34393.83,ASIGNADO_TEORICO,NO_MAPEAR
148,AV-0380/1990,C310,,39042.65,ASIGNADO_TEORICO,NO_MAPEAR
149,AV-0117/2002,C310,,37879.78,ASIGNADO_TEORICO,NO_MAPEAR
150,AV-0050/1999,C310,,31165.35,ASIGNADO_TEORICO,NO_MAPEAR
151,AV-0087/2004,C310,,39317.36,ASIGNADO_TEORICO,NO_MAPEAR
152,AV-0077/2005,C310,,36921.37,ASIGNADO_TEORICO,NO_MAPEAR
153,AV-0089/2011,C310,,25582.35,ASIGNADO_TEORICO,NO_MAPEAR
154,AV-0042/2012,C310,,35588.6,ASIGNADO_TEORICO,NO_MAPEAR
155,AV-0044/2013,C310,,37180.75,ASIGNADO_TEORICO,NO_MAPEAR
156,AV-0107/2006,C310,,38240.2,ASIGNADO_TEORICO,NO_MAPEAR
157,AV-0105/2011,C310,,35980.49,ASIGNADO_TEORICO,NO_MAPEAR
158,AV-0041/2012,C310,,35595.94,ASIGNADO_TEORICO,NO_MAPEAR
159,AV-0093/2009,C310,,37379.77,ASIGNADO_TEORICO,NO_MAPEAR
160,AV-0050/1996,C310,,38304.03,ASIGNADO_TEORICO,NO_MAPEAR
161,AV-0058/2012,C310,,38481.88,ASIGNADO_TEORICO,NO_MAPEAR
162,AV-0050/2014,C310,,34371.88,ASIGNADO_TEORICO,NO_MAPEAR
163,AV-0058/2013,C310,,34454.84,ASIGNADO_TEORICO,NO_MAPEAR
164,AV-0043/2013,C310,,39193.99,ASIGNADO_TEORICO,NO_MAPEAR
165,AV-0044/2016,C310,,39408.14,ASIGNADO_TEORICO,NO_MAPEAR
166,AV-0047/2014,C310,,37251.49,ASIGNADO_TEORICO,NO_MAPEAR
167,AV-0062/2013,C310,,32038.01,ASIGNADO_TEORICO,NO_MAPEAR
168,AV-0085/2009,C310,,34067.21,ASIGNADO_TEORICO,NO_MAPEAR
169,AV-0042/2018,C310,,31565.95,ASIGNADO_TEORICO,NO_MAPEAR
170,AV-0111/2011,C310,,32345.15,ASIGNADO_TEORICO,NO_MAPEAR
171,AV-0043/2012,C310,,24804.31,ASIGNADO_TEORICO,NO_MAPEAR
172,AV-0218/2023,C310,,25720.26,ASIGNADO_TEORICO,NO_MAPEAR
173,AV-0643/1987,C310,,36666.39,ASIGNADO_TEORICO,NO_MAPEAR
174,AV-0104/2006,C310,,38423.8,ASIGNADO_TEORICO,NO_MAPEAR
175,AV-0159/2008,C310,,38881.86,ASIGNADO_TEORICO,NO_MAPEAR
176,AV-0242/2023,C310,,38835.25,ASIGNADO_TEORICO,NO_MAPEAR
177,AV-0061/2023,C310,,36155.83,ASIGNADO_TEORICO,NO_MAPEAR
178,AV-0039/2017,C310,,32367.55,ASIGNADO_TEORICO,NO_MAPEAR
179,AV-0109/2010,C342,,29266.75,ASIGNADO_TEORICO,NO_MAPEAR
180,AV-0121/2002,C342,,28191.04,ASIGNADO_TEORICO,NO_MAPEAR
181,AV-0115/2002,C342,,28289.51,ASIGNADO_TEORICO,NO_MAPEAR
182,AV-0381/1990,C342,,27949.83,ASIGNADO_TEORICO,NO_MAPEAR
183,AV-0073/2001,C342,,32700.49,ASIGNADO_TEORICO,NO_MAPEAR
184,AV-0086/2003,C342,,27788.81,ASIGNADO_TEORICO,NO_MAPEAR
185,AV-0411/1990,C342,,28595.63,ASIGNADO_TEORICO,NO_MAPEAR
186,AV-0187/2008,C342,,34890.16,ASIGNADO_TEORICO,NO_MAPEAR
187,AV-0081/2005,C342,,27780.03,ASIGNADO_TEORICO,NO_MAPEAR
188,AV-0386/1990,C342,,29615.26,ASIGNADO_TEORICO,NO_MAPEAR
189,AV-0134/2005,C342,,27945.2,ASIGNADO_TEORICO,NO_MAPEAR
190,AV-0042/2017,C342,,29630.7,ASIGNADO_TEORICO,NO_MAPEAR
191,AV-0440/1990,C342,,28323.81,ASIGNADO_TEORICO,NO_MAPEAR
192,AV-0170/2008,C326,,42103.73,ASIGNADO_TEORICO,NO_MAPEAR
193,AV-0092/2009,C326,,42373.86,ASIGNADO_TEORICO,NO_MAPEAR
194,AV-0132/2007,C326,,40487.9,ASIGNADO_TEORICO,NO_MAPEAR
195,AV-0114/2009,C326,,42331.69,ASIGNADO_TEORICO,NO_MAPEAR
196,AV-0020/2019,C326,,41721.8,ASIGNADO_TEORICO,NO_MAPEAR
197,AV-0084/2022,C323,,46178.74,ASIGNADO_TEORICO,NO_MAPEAR
198,AV-0019/2023,C323,,47175.45,ASIGNADO_TEORICO,NO_MAPEAR
199,AV-0102/2022,C344,,47146.18,ASIGNADO_TEORICO,NO_MAPEAR
200,AV-0033/2021,C344,,46621.12,ASIGNADO_TEORICO,NO_MAPEAR
201,AV-0083/2022,C310,,44116.62,ASIGNADO_TEORICO,NO_MAPEAR
202,AV-0097/2006,C310,,44874.63,ASIGNADO_TEORICO,NO_MAPEAR
203,AV-0048/1999,C310,,45262.93,ASIGNADO_TEORICO,NO_MAPEAR
204,AV-0087/2005,C310,,45013.85,ASIGNADO_TEORICO,NO_MAPEAR
205,AV-0067/2020,C310,,45339.84,ASIGNADO_TEORICO,NO_MAPEAR
206,AV-0026/2022,C310,,40288.74,ASIGNADO_TEORICO,NO_MAPEAR
207,AV-0081/2004,C344,,46240.29,ASIGNADO_TEORICO,NO_MAPEAR
208,AV-0080/2003,C344,,41470.63,ASIGNADO_TEORICO,NO_MAPEAR
209,AV-0048/2000,C323,,46226.13,ASIGNADO_TEORICO,NO_MAPEAR
210,AV-0082/2004,C310,,47959.86,ASIGNADO_TEORICO,NO_MAPEAR
211,AV-0084/2003,C344,,40050.35,ASIGNADO_TEORICO,NO_MAPEAR
212,AV-0094/2003,C323,,46923.96,ASIGNADO_TEORICO,NO_MAPEAR
213,AV-0089/2004,C323,,45683.33,ASIGNADO_TEORICO,NO_MAPEAR
214,AV-0084/2004,C310,,43781.77,ASIGNADO_TEORICO,NO_MAPEAR
215,AV-0114/2022,C344,,47531.01,ASIGNADO_TEORICO,NO_MAPEAR
216,AV-0144/2007,C310,,47384.08,ASIGNADO_TEORICO,NO_MAPEAR
217,AV-0184/2008,C323,,44593.82,ASIGNADO_TEORICO,NO_MAPEAR
218,AV-0052/2022,C310,,45271.99,ASIGNADO_TEORICO,NO_MAPEAR
219,AV-0115/2006,C310,,41793.5,ASIGNADO_TEORICO,NO_MAPEAR
220,AV-0205/2023,C310,,47070.04,ASIGNADO_TEORICO,NO_MAPEAR
221,AV-0084/2006,C323,,42843.64,ASIGNADO_TEORICO,NO_MAPEAR
222,AV-0013/2023,C310,,46898.46,ASIGNADO_TEORICO,NO_MAPEAR
223,AV-0101/2011,C310,,40797.04,ASIGNADO_TEORICO,NO_MAPEAR
224,AV-0056/2013,C344,,45737.94,ASIGNADO_TEORICO,NO_MAPEAR
225,AV-0044/2021,C323,,44811.85,ASIGNADO_TEORICO,NO_MAPEAR
226,AV-0106/2009,C310,,39675.78,ASIGNADO_TEORICO,NO_MAPEAR
227,AV-0060/2012,C344,,45167.16,ASIGNADO_TEORICO,NO_MAPEAR
228,AV-0047/2012,C310,,39618.45,ASIGNADO_TEORICO,NO_MAPEAR
229,AV-0152/2008,C310,,45587.81,ASIGNADO_TEORICO,NO_MAPEAR
230,AV-0029/2021,C344,,46604.6,ASIGNADO_TEORICO,NO_MAPEAR
231,AV-0225/2023,C323,,44761.48,ASIGNADO_TEORICO,NO_MAPEAR
232,AV-0019/2024,C310,,42439.14,ASIGNADO_TEORICO,NO_MAPEAR
233,AV-0008/2019,C310,,40924.3,ASIGNADO_TEORICO,NO_MAPEAR
234,AV-0048/2012,C344,,46018.22,ASIGNADO_TEORICO,NO_MAPEAR
235,AV-0097/2011,C344,,42859.72,ASIGNADO_TEORICO,NO_MAPEAR
236,AV-0096/2010,C344,,45805.37,ASIGNADO_TEORICO,NO_MAPEAR
237,AV-0044/2012,C344,,44982.49,ASIGNADO_TEORICO,NO_MAPEAR
238,AV-0113/2022,C344,,47617.39,ASIGNADO_TEORICO,NO_MAPEAR
239,AV-0024/2021,C310,,40817.01,ASIGNADO_TEORICO,NO_MAPEAR
240,AV-0048/2016,C344,,44053.66,ASIGNADO_TEORICO,NO_MAPEAR
241,AV-0072/2004,C344,,43361.73,ASIGNADO_TEORICO,NO_MAPEAR
242,AV-0425/1990,C323,,46467.88,ASIGNADO_TEORICO,NO_MAPEAR
243,AV-0022/2021,C310,,42268.75,ASIGNADO_TEORICO,NO_MAPEAR
244,AV-0068/2020,C344,,45116.5,ASIGNADO_TEORICO,NO_MAPEAR
245,AV-0139/2007,C344,,45694.57,ASIGNADO_TEORICO,NO_MAPEAR
246,AV-0101/2022,C310,,40968.53,ASIGNADO_TEORICO,NO_MAPEAR
